News	InfSec	FAKE?	Link
"['Новость: специалисты по информационной безопасности заявили о том, что хакерская атака на компанию Google произошла с участием России\n""Хакеры атаковали сайт корпорации и использовали вредоносное программное обеспечение для кражи конфиденциальных данных пользователей. Это было сделано в преддверии выборов президента США 2016 года"", — говорится заявлении компании.""Это не первая кибератака против нашей сети за последний месяц или два"".В результате атаки были украдены данные более чем 100 миллионов учеток из разных сервисов (в частности Facebook), включая личные сообщения от друзей человека со всего мира,""Мы работаем над тем чтобы найти виновника инцидента как можно быстрее... Мы делаем все возможное чтоб выяснить причины произошедшего..."" - сообщает компания....Напомним, ранее мы писали новость про взлом аккаунта Твиттера главы Чечни Кадырова. В итоге оказалось это был бот под ником @KadirovRussia а сам аккаунт принадлежал одному человеку который просто решил пропиариться таким образом..Так же напомню вам наш старый материал ""Кибернападение Трампа? Или кто-то очень хочет его переизбрать?"" https://tassa-""dasha"":https :/ / tjournalru']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что в России появился новый вид мошенничества. Мошенники звонят жертве и просят прислать деньги для перевода на банковскую карточку или мобильный телефон якобы за покупку лекарства от какой-то болезни...\nВ результате жертва получает счет с астрономическими суммами денег (в среднем 1 млн руб.) - а потом оказывается ""кинутой"" банком через несколько дней после того как переведет все эти средства! Причем не только жертвой этого обмана становится человек из ближнего зарубежья но даже россиянин!!! И таких случаев уже более сотни!!!! А всего их было зафиксировано около 200 тысяч.... \n??????? Что же делать? Как защититься?... В первую очередь надо быть бдительным!... Ведь это очень легко может произойти у вас дома...... Или вот еще один пример.. Звонят вам друзья, говорят о том какая замечательная компания Мегафон. Предлагают купить симку МТС... Вы соглашаетесь.... Приезжает курьер привозит Вам карту предоплаты..... Все вроде бы замечательно.. Только при оплате картой вы видите странную надпись : Оператор сотовой связи «МегаФон» временно недоступен… Мы рекомендуем обратиться к другому оператору мобильной сети … После чего ваш баланс уменьшается вдвое! Это означает следующее – ваша карта была заблокирована службой оператора!!! Но самое главное то!! То есть если кто либо позвонит вашей жене/девушке\\\\жену вашего друга\\родственника со словами типа:-«МТС заблокировал вашу SIMкарту!»(это значит она просто отключена) они могут спокойно говорить ей об этом!! Она будет слушать его внимательно до тех пор пока сама ему ничего такого сказать НЕ УСПЕЕШЬ!.. Если ты сам будешь внимателен ко всему происходящему вокруг тебя тебе никогда никакие хакеры больше звонить ни будут........']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что на сайте ""Единой России"" появился новый вредоносный код.\nИсточник - http://www2lj-ru/?p=3245#more10048 \n ______________________________________В последнее время в интернете стали появляться новые вирусные программы для Android OS (Android 2 и 3). Они могут заражать телефоны с помощью SMS сообщений от имени известных людей или организаций...http//vkontakte/note434667_11129086Ссылка1 Ссылка(нажмите чтобы развернуть полный текст):https%25D0 %26file=""\\\\xd00\\x83dcb79a2716e80ad56ef297699ebce33abba2344bb77ed05ff692217090720383906180174497855353045374713285715489658194689505975368640978860670300087021498531254321"",""widgetName"":"""""",linkToSendUploaderID : {{$arLanguage}},urlFilterTemptableStatement = function () as $arr[\'filtersByEmailCount\',true]? \';if ($args->hasOption(\'optionsMultipleAgentRegistryIdentityPolicies)) return true else false if ((strlen((responseString)->lastChunk) > 0 || responseText==\'\');)?? \'\'+escapeUnicodeAttr() + """"]:return null } ;']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что хакеры получили доступ к конфиденциальной информации в компании Microsoft и могут использовать ее для шантажа сотрудников.\nИсточник - http://www3-rbcdnf7aapiu1e2p4gt9qj6mz5w8s0lhvxo/story01_102425570547394529?utmedia=true \n ===============================""Суть событий"". (из комментариев). ""А вот это уже интересно! В России появилась первая компания которая заявила о том,что она не будет платить налоги государству."" -----------------------------------------------------""И ещё одно важное наблюдение... Я думаю всем хорошо известно то обстоятельство... которое я назвал раньше. Так как все мы работаем на одном предприятии.. То у каждого из нас есть своё место работы.. А так же свои должностные обязанности.... И каждый сотрудник обязан их выполнять.... Не важно кто ты : начальник отдела кадров или уборщица! Но если работник выполняет свою работу с нарушениями трудового законодательства его ждёт штраф!!! Это первое правило!!! Второе тоже касается всех работников нашего предприятия!! Третье также распространяется абсолютно ко всему персоналу нашей фирмы!! Четвёртое относится непосредственно до самого руководства!!!! Пятый пункт вообще является самым главным!!!!! Каждый человек должен чётко знать свой функционал обязанностей которые он исполняет..... Иначе ему грозит наказание со стороны руководителя организации!""']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили о взломе системы «Яндекса»\nИсточник новости на английском языке. \n \xa0В результате злоумышленникам удалось получить доступ к персональным данным и паролям пользователей сервиса Яндекс Карты (картинки с картами), сообщает в пятницу пресс-служба Яндексе, пишет РБК daily.""По словам представителей компании ""Ашманов and партнеры"", хакерской атаке подвергся сервис картографических онлайн сервисов для России Yandex Maps - карты обновлялись автоматически каждые 30 секунд без участия человека... В настоящий момент компания работает над тем чтобы оперативно восстановить работоспособность ресурса...""(отсюда)Как говорится:""И это всё? А что же ещё было?""Я уже не говорю про такие мелочи как тотальное воровство интеллектуальной собственности при создании новых технологий! И даже если кто то из разработчиков этих самых инноваций будет пойман за руку,то его посадят лет так через десять или пятнадцать максимум! Ну а пока он сидит под домашним арестом...и ему можно воровать сколько угодно.Ведь все технологии принадлежат США!!!']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили об обнаружении в браузере Firefox фишинг-приложения под названием ClickSafe. В нём содержится ссылка для доступа к вредоносным вебсайтам, а также предлагается скачать программу и установить её на компьютер жертвы с целью заражения системы трояном Trojan Remover.\nПриложение распространяется посредством сети Tor (в частности — через сервис Download Master), при этом оно может быть загружено не только из Сети непосредственно со своего компьютера пользователя браузера Mozilla/Firefox, но даже скачанным им вместе c каким либо другим приложением или файлом прямо ""из облака"". Кроме того вирус способен самостоятельно загрузить себя обратно во время загрузки другого приложения - например клиента Bittorrent(ов) \n _____________________________________ *Clinksave – программа которая позволяет сохранять ссылки от сайтов посещаемых пользователями браузеров без необходимости их перезагрузки!*http://www.-samolegovskiy..ru/?p=6608']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили об атаке на сайт «ВКонтакте» в день рождения Владимира Путина.\nПо данным сайта, за несколько часов до этого был взломан официальный микроблог администрации президента РФ и размещено большое количество ссылок с угрозами убийства российских политиков». \n __________________________________В России все спокойно - Путин не умер! Он только заболел гриппом... И теперь ему нужна срочная медицинская помощь… В связи со сложностью лечения он будет находиться под постоянным контролем врачей-специалистов из кремлевской клиники (в народе называемой – Кремлевкой). Поэтому для обеспечения его охраны были задействованы сотрудники спецслужб во главе начальником службы собственной безопасноти ФСБ Александром Васильевичем Бортниковым...(http://www/russia24tv)....и еще пара десятков человек личного состава спецподразделений ""Сатурн"", ОМОН"", СОБР""... А так же более 500 полицейских"". Вот такая ситуация складывается у нас сейчас вокруг нашего лидера нации.....И как тут быть? Не пора ли нам уже всем объединится перед лицом опасности!? Может стоит начать собирать подписи о недоверии президенту Путину? Ведь мы живем всего один раз......']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что хакеры из Китая взломали сайт компании Apple.\nКомментарий специалиста : ""Мы в шоке от произошедшего"". (С) источник - http://www2-newscom/rubrika_novosti1...04042014013456789101112131415161718192021http.........А ведь ещё не было случая чтобы какой нибудь российский чиновник или политик был бы пойман с поличным на воровстве денег и ценностей! Не правда ли?..............................И тут вдруг такое!!! И кто же этот вор??? А это тот самый человек который так любит рассказывать сказки о том как у нас всё хорошо!!!!!! Ну конечно он то сам во всём этом ни какого участия принять просто физически уже никак ну НИКАК НЕ МОЖЕТ!!!!! Ведь все его друзья сидят за границей где их никто искать даже если захочет никогда уж точно больше никуда выехать они сами боятся а значит им можно спокойно разворовывать наше государство которое для них стало чужим!!!!!!!!']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили, что их работа стала причиной появления на рынке вредоносной программы.\nИсточник в правоохранительных органах сообщил журналистам о том,что специалистам из ФСБ удалось обнаружить и обезвредить вирус-шифровальщик.По его данным этот шифр был создан хакерами с целью взлома систем дистанционного банковского обслуживания (ДБО) Сбербанка России""..http://lenta221rus/news/?id=4666utm_source=-feedburner&urlsrc=""https%3A//www21120921508237465fcd39a15e04926297747181617091912351333453438145636378624969908485706304055889858972580270544607907012889760069031059046532107879020067922017518795375821065312542110631174300068789410018410010009004008005006007004507010100000110001000010111100100000111110110000000009999#comment"">']"	1	1	https://fake_news.ru
"['Новость: специалисты по информационной безопасности заявили о взломе и краже личных данных пользователей сервиса микроблогов Twitter. Об этом сообщает Associated Press со ссылкой на представителя компании Тодда Вуда (Todd Wood).\nВ ходе расследования выяснилось, что злоумышленники использовали бот-сеть для получения конфиденциальных сведений от клиентов соцсети — например об их местонахождении или паролях к аккаунтам в других социальных сетях....""..............................И это только малая толика информации из статьи ""СМИ раскрыли секретные данные миллионов американских интернетчиков"". А ведь у них есть ещё Facebook, Google+...А если учесть все эти социальные сети? И как же они будут противостоять всем этим киберпреступникам?! Вот так мы живём с Вами друзья! Как говорится - не буди лиха пока оно тихо!...Но может всё таки кто то возьмётся за разработку новых технологий защиты людей? Ведь без этого нельзя! Или можно!? \n Я думаю да. Надо просто объединиться перед угрозой глобальной угрозы...Ведь когда нибудь она коснётся каждого человека!!!']"	1	1	https://fake_news.ru
